"","manufacturer","user___buyer","project","reference","year_ref","link_reference","model","commercial","living","manufacturer_web_link","typeopc__nephelometer__electrochemical__metal_oxide","oem___sensor_system1","oemfirst_provider","pollutant","sensor_result_unit","availability_of_raw_data","open_source_correction_or_black_box_","field___lab","site","response_time_s","time_resolution_s","averaging_time","units_avg_time","r2_calib","intercepta0","a1slope","a2","a3","a4","a5","model_type_calibration","calibration_type_equation2","int_o3","int_t","int_rh","int_no","int_no2","int_co","int_co2","int_day","x","y","model_type_regression_comparison","r2","intercept","slope","rmse","mae","bias","nrmse__","min_data_recovery_","max_data_recovery_","intra_model_variability_mean_field_value_µg_m3","t__c","rh__","x__failure","no2__sensitivity_coeff_ppb_ppb_or_ppm","no__sensitivity_coeff_ppb_ppb_or_ppm","co__sensitivity_coeff_ppb_ppm","o3__sensitivity_coeff_ppb_ppb_or_ppm","so2__sensitivity_coeff_ppb_ppb_or_ppm","temp__sensitivity_coeff_ppb__c","rh__sensitivity_coeff_ppb__","u","type_of_u","rsd_100_1000_µg_m3__","rsd___100_µg_m3__","min_accuracy","max_accuracy","units_accuracy","lod","units_lod","lod_100_1000_µg_m3_µg_m3","lod___100_µg_m3_µg_m3","range","units_range","precison","units_precision","repteability_at_100_ppb","reproducibility_between_sensors_r2","dss_drift","dls_drift_ppb_day","dep_part_composition","impact_part_compositions__","dep_part_size","impact_part_size__","dep_rh","impact_rh__","dep_t","impact_t__","long_term_performance","price","currency","link_reference__1","comments","operator_added_by","id_ref","time_avg"
"64","RTI",NA,NA,"AQ-SPEC","2015","http://db-airmontech.jrc.ec.europa.eu/download/rti-micropem---field-evaluation.pdf","MicroPEM","Y","Y",NA,"OPC","sensor system",NA,"PM2.5","µg/m3","N","black box","FIELD","rural",NA,"  10"," 5.0","min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensor","GRIMM","linear","0.800300"," 8.621200e+00","    0.509200",NA,NA,NA,NA," 30.0000"," 80.0","12.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2000","USD","http://db-airmontech.jrc.ec.europa.eu/download/rti-micropem---field-evaluation.pdf",NA,"JRC-FK"," 3","5 min"
"65","RTI",NA,NA,"AQ-SPEC","2015","http://db-airmontech.jrc.ec.europa.eu/download/rti-micropem---field-evaluation.pdf","MicroPEM","Y","Y",NA,"OPC","sensor system",NA,"PM2.5","µg/m3","N","black box","FIELD","rural",NA,"  10"," 5.0","min",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensor","GRIMM","linear","0.868400"," 4.335600e+00","    0.559200",NA,NA,NA,NA," 30.0000"," 80.0","14.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2000","USD","http://db-airmontech.jrc.ec.europa.eu/download/rti-micropem---field-evaluation.pdf",NA,"JRC-FK"," 3","5 min"
"66","RTI",NA,NA,"AQ-SPEC","2015","http://db-airmontech.jrc.ec.europa.eu/download/rti-micropem---field-evaluation.pdf","MicroPEM","Y","Y",NA,"OPC","sensor system",NA,"PM2.5","µg/m3","N","black box","FIELD","rural",NA,"  10"," 1.0","hour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensor","GRIMM","linear","0.820500"," 5.463500e+00","    0.492400",NA,NA,NA,NA," 30.0000"," 80.0","13.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2000","USD","http://db-airmontech.jrc.ec.europa.eu/download/rti-micropem---field-evaluation.pdf",NA,"JRC-FK"," 3","1 hour"
"67","RTI",NA,NA,"AQ-SPEC","2015","http://db-airmontech.jrc.ec.europa.eu/download/rti-micropem---field-evaluation.pdf","MicroPEM","Y","Y",NA,"OPC","sensor system",NA,"PM2.5","µg/m3","N","black box","FIELD","rural",NA,"  10"," 1.0","hour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensor","GRIMM","linear","0.810200"," 8.260300e+00","    0.522700",NA,NA,NA,NA," 30.0000"," 80.0","12.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2000","USD","http://db-airmontech.jrc.ec.europa.eu/download/rti-micropem---field-evaluation.pdf",NA,"JRC-FK"," 3","1 hour"
"68","RTI",NA,NA,"AQ-SPEC","2015","http://db-airmontech.jrc.ec.europa.eu/download/rti-micropem---field-evaluation.pdf","MicroPEM","Y","Y",NA,"OPC","sensor system",NA,"PM2.5","µg/m3","N","black box","FIELD","rural",NA,"  10"," 1.0","hour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensor","GRIMM","linear","0.876200"," 4.330500e+00","    0.554800",NA,NA,NA,NA," 30.0000"," 80.0","14.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2000","USD","http://db-airmontech.jrc.ec.europa.eu/download/rti-micropem---field-evaluation.pdf",NA,"JRC-FK"," 3","1 hour"
"69","RTI",NA,NA,"AQ-SPEC","2015","http://db-airmontech.jrc.ec.europa.eu/download/rti-micropem---field-evaluation.pdf","MicroPEM","Y","Y",NA,"OPC","sensor system",NA,"PM2.5","µg/m3","N","black box","FIELD","rural",NA,"  10","24.0","hour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensor","GRIMM","linear","0.843600"," 5.341900e+00","    0.500000",NA,NA,NA,NA," 30.0000"," 80.0","13.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2000","USD","http://db-airmontech.jrc.ec.europa.eu/download/rti-micropem---field-evaluation.pdf",NA,"JRC-FK"," 3","24 hour"
"70","RTI",NA,NA,"AQ-SPEC","2015","http://db-airmontech.jrc.ec.europa.eu/download/rti-micropem---field-evaluation.pdf","MicroPEM","Y","Y",NA,"OPC","sensor system",NA,"PM2.5","µg/m3","N","black box","FIELD","rural",NA,"  10","24.0","hour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensor","GRIMM","linear","0.728900"," 6.719500e+00","    0.854600",NA,NA,NA,NA," 30.0000"," 80.0","12.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2000","USD","http://db-airmontech.jrc.ec.europa.eu/download/rti-micropem---field-evaluation.pdf",NA,"JRC-FK"," 3","24 hour"
"71","RTI",NA,NA,"AQ-SPEC","2015","http://db-airmontech.jrc.ec.europa.eu/download/rti-micropem---field-evaluation.pdf","MicroPEM","Y","Y",NA,"OPC","sensor system",NA,"PM2.5","µg/m3","N","black box","FIELD","rural",NA,"  10","24.0","hour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensor","GRIMM","linear","0.896700"," 4.095300e+00","    0.566000",NA,NA,NA,NA," 30.0000"," 80.0","14.0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2000","USD","http://db-airmontech.jrc.ec.europa.eu/download/rti-micropem---field-evaluation.pdf",NA,"JRC-FK"," 3","24 hour"
"72","RTI",NA,NA,"AQ-SPEC","2015","http://db-airmontech.jrc.ec.europa.eu/download/rti-micropem---field-evaluation.pdf","MicroPEM","Y","Y",NA,"OPC","sensor system",NA,"PM2.5","µg/m3","N","black box","FIELD","rural",NA,"  10"," 1.0","hour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensor","BAM","linear","0.780900"," 6.833500e+00","    0.554700",NA,NA,NA,NA," 30.0000"," 80.0","13.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2000","USD","http://db-airmontech.jrc.ec.europa.eu/download/rti-micropem---field-evaluation.pdf",NA,"JRC-FK"," 3","1 hour"
"73","RTI",NA,NA,"AQ-SPEC","2015","http://db-airmontech.jrc.ec.europa.eu/download/rti-micropem---field-evaluation.pdf","MicroPEM","Y","Y",NA,"OPC","sensor system",NA,"PM2.5","µg/m3","N","black box","FIELD","rural",NA,"  10"," 1.0","hour",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sensor","BAM","linear","0.674300"," 9.787900e+00","    0.593900",NA,NA,NA,NA," 30.0000"," 80.0","12.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 2000","USD","http://db-airmontech.jrc.ec.europa.eu/download/rti-micropem---field-evaluation.pdf",NA,"JRC-FK"," 3","1 hour"
